가바, 92, 181
사가, 40, 149
나하, 97, 153
차마, 97, 184
자카, 66, 187
차타, 53, 175
카차, 78, 192
자마, 58, 150
카라, 50, 140
다아, 62, 166
가차, 75, 179
다차, 55, 150
바마, 87, 170
카마, 50, 146
파자, 68, 158
카나, 67, 171
자라, 82, 162
타카, 63, 159
차라, 51, 157
카마, 82, 178
가마, 61, 189
라사, 55, 189
카가, 93, 176
가타, 65, 152
나타, 57, 154
자사, 62, 196
바카, 42, 141
바사, 67, 142
다아, 86, 180
카아, 98, 193
가다, 99, 160
파파, 94, 153
자다, 93, 195
아마, 79, 192
하가, 76, 198
아아, 59, 199
마가, 72, 178
다다, 54, 143
파나, 58, 195
파사, 50, 151
카하, 71, 158
차사, 90, 185
파아, 82, 155
사파, 55, 173
라카, 77, 147
마아, 59, 183
타사, 97, 161
라가, 99, 183
나가, 80, 161
카아, 95, 166
차사, 99, 166
자마, 49, 190
하바, 44, 180
아타, 50, 145
하아, 68, 198
가나, 77, 167
바라, 55, 160
차타, 83, 179
파하, 40, 196
카바, 91, 140
라사, 99, 182
나파, 97, 154
파나, 80, 195
차바, 44, 189
차바, 63, 172
아하, 97, 183
카사, 76, 142
자바, 54, 189
아파, 99, 157
나나, 49, 177
나바, 75, 178
사가, 97, 194
하차, 90, 142
타아, 69, 141
라하, 54, 140
사하, 67, 160
하바, 49, 193
사차, 70, 156
파다, 93, 158
마아, 97, 199
사차, 82, 167
차사, 67, 148
차카, 68, 176
카다, 91, 140
하라, 61, 161
차가, 54, 187
바카, 77, 169
하파, 82, 183
아자, 42, 189
나자, 49, 198
아아, 70, 144
가사, 72, 178
가아, 90, 182
사사, 53, 166
바아, 74, 167
카사, 63, 187
카하, 60, 181
아라, 62, 186
타가, 75, 151
파파, 42, 159
자카, 68, 176
타라, 72, 192
하사, 83, 140
마바, 58, 174
라타, 48, 197
타아, 60, 164
바파, 59, 172
라자, 80, 147
타라, 57, 182
마다, 68, 196
아다, 90, 177
카타, 45, 171
가라, 95, 155
가가, 86, 171
카라, 93, 174
차라, 45, 198
자하, 43, 177
자자, 59, 161
아아, 45, 156
마사, 60, 150
바사, 54, 177
파가, 70, 196
카파, 53, 195
자다, 62, 165
라다, 41, 178
사마, 50, 161
카나, 53, 151
가마, 64, 193
사마, 52, 177
차하, 86, 192
가파, 90, 159
마자, 44, 155
파타, 78, 157
차라, 90, 193
다파, 86, 177
카하, 45, 143
카자, 48, 175
사타, 65, 199
자하, 77, 161
카사, 68, 145
차차, 70, 144
나카, 74, 170
사마, 69, 154
아타, 84, 172
타하, 80, 159
카마, 51, 144
가아, 91, 186
사타, 74, 189
라하, 61, 186
다카, 59, 140
마타, 62, 164
마다, 43, 161
차라, 71, 174
가나, 57, 174
아아, 45, 177
라아, 90, 178
타바, 85, 176
다마, 71, 160
자라, 76, 152
마타, 49, 156
아아, 99, 155
자하, 76, 145
라다, 71, 188
타차, 95, 173
다라, 81, 160
카라, 60, 178
마마, 41, 146
카아, 53, 183
차차, 43, 197
나사, 93, 176
마바, 78, 166
사다, 87, 182
나사, 70, 188
자가, 82, 184
가바, 70, 166
다하, 47, 187
마파, 74, 154
가마, 46, 166
타바, 84, 160
아카, 81, 149
아타, 44, 183
카나, 52, 193
바가, 77, 166
다사, 52, 143
타다, 75, 140
나마, 63, 175
가라, 82, 174
자다, 68, 168
사마, 53, 148
나차, 70, 163
자가, 92, 193
카파, 87, 165
바타, 91, 185
다아, 94, 142
바다, 45, 182
파사, 60, 146
차라, 86, 175
사파, 42, 151
사라, 92, 161
자타, 87, 176
하자, 63, 187
자아, 68, 162
하카, 57, 156
마카, 87, 185
나사, 66, 172
바라, 59, 164
타마, 92, 145
마타, 72, 196
카자, 90, 198
나카, 88, 183
나가, 81, 159
자아, 82, 162
마마, 58, 149
카다, 91, 167
라자, 99, 191
차바, 57, 197
바라, 86, 172
파마, 45, 141
바바, 45, 146
자가, 59, 146
바나, 93, 187
아아, 64, 142
나차, 80, 176
라사, 94, 171
아마, 61, 185
가마, 59, 150
타아, 68, 149
파사, 95, 175
바다, 63, 197
가나, 99, 193
타차, 88, 187
하사, 95, 172
차카, 44, 194
나사, 76, 148
아바, 88, 144
바타, 40, 147
마하, 90, 167
바카, 84, 167
라가, 48, 197
아마, 84, 177
자타, 43, 141
사아, 81, 167
자타, 58, 193
다카, 94, 192
카아, 71, 140
타자, 92, 145
하파, 94, 154
아가, 81, 176
타파, 46, 159
바아, 74, 168
아바, 57, 150
차라, 67, 150
다차, 80, 145
다하, 87, 192
타파, 62, 150
타다, 62, 149
카사, 41, 141
라파, 81, 168
가다, 67, 184
다바, 81, 174
하마, 97, 197
라파, 63, 199
다가, 57, 194
아아, 60, 155
카바, 73, 143
바하, 96, 180
카다, 70, 186
차바, 74, 176
사자, 99, 149
라하, 91, 184
사자, 93, 186
타바, 72, 140
다차, 85, 193
마마, 77, 176
아나, 93, 199
라카, 72, 177
차하, 46, 145
카바, 94, 159
자타, 64, 148
파파, 67, 172
라가, 71, 168
바파, 91, 179
사라, 96, 150
카차, 52, 152
라아, 45, 152
나하, 40, 140
아아, 87, 186
사마, 91, 180
사하, 89, 181
가카, 57, 167
카타, 86, 164
다마, 87, 168
자가, 67, 154
차차, 76, 176
다파, 94, 198
나자, 79, 169
가마, 93, 199
나사, 95, 196
나파, 41, 180
가라, 90, 169
사파, 73, 193
다사, 75, 185
사다, 78, 185
마나, 56, 198
자차, 81, 143
타아, 49, 196
라나, 40, 141
타타, 70, 156
라파, 46, 147
차자, 57, 175
다차, 55, 196
하카, 79, 160
가차, 46, 140
가아, 63, 198
차자, 84, 157
차차, 84, 166
타타, 95, 150
마카, 50, 147
아바, 75, 183
자차, 78, 192
사나, 77, 193
차바, 81, 193
마가, 92, 150
아가, 88, 166
라타, 50, 196
하다, 81, 145
나차, 63, 155
마카, 81, 171
차사, 60, 185
라자, 71, 195
마파, 50, 179
가마, 62, 165
아마, 44, 179
사자, 82, 179
